player_name,normalized_name,resolution_method,attempted_url,success,failure_reason
Martin Landaluce,martin landaluce,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=212021/Martin-Landaluce,True,
Miomir Kecmanovic,miomir kecmanovic,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=200175/Miomir-Kecmanovic,True,
Nuno Borges,nuno borges,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=132686/Nuno-Borges,True,
Otto Virtanen,otto virtanen,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=202261/Otto-Virtanen,True,
Pedro Martinez,pedro martinez,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=124079/Pedro-Martinez,True,
Rafael Jodar,rafael jodar,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=212588/Rafael-Jodar,True,
Reilly Opelka,reilly opelka,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=124187/Reilly-Opelka,True,
Sebastian Baez,sebastian baez,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=202104/Sebastian-Baez,True,
Sebastian Ofner,sebastian ofner,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=124116/Sebastian-Ofner,True,
Stan Wawrinka,stan wawrinka,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=104527/Stan-Wawrinka,True,
Stefanos Tsitsipas,stefanos tsitsipas,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=126774/Stefanos-Tsitsipas,True,
Sumit Nagal,sumit nagal,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=111576/Sumit-Nagal,True,
Tallon Griekspoor,tallon griekspoor,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=134868/Tallon-Griekspoor,True,
Terence Atmane,terence atmane,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=209279/Terence-Atmane,True,
Tomas Machac,tomas machac,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=207830/Tomas-Machac,True,
Tomas Martin Etcheverry,tomas martin etcheverry,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=144869/Tomas-Martin-Etcheverry,True,
Vit Kopriva,vit kopriva,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=200240/Vit-Kopriva,True,
Vitaliy Sachko,vitaliy sachko,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=126964/Vitaliy-Sachko,True,
Yannick Hanfmann,yannick hanfmann,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=105870/Yannick-Hanfmann,True,
Zhizhen Zhang,zhizhen zhang,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=111190/Zhizhen-Zhang,True,
Zizou Bergs,zizou bergs,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=200267/Zizou-Bergs,True,
